id,organization_id,date,program_id,program_name,amount,payment_method,check_number,description,is_expense,created_at,updated_at
C015857_001,C015857,2025-01-01,membership_dues,Membership Dues,34.90,square,,Dues Square,false,2025-01-01T00:00:00,2025-01-01T00:00:00
C015857_002,C015857,2025-01-02,per_capita_state,Per Capita - State,285.00,debit_card,,State Per Capita,true,2025-01-02T00:00:00,2025-01-02T00:00:00
C015857_003,C015857,2025-01-14,per_capita_supreme,Per Capita - Supreme,183.25,check,,Supreme Per Capita,true,2025-01-14T00:00:00,2025-01-14T00:00:00
C015857_004,C015857,2025-01-14,postage,Postage,73.00,check,,Shawn McPeek - Postage,true,2025-01-14T00:00:00,2025-01-14T00:00:00
C015857_005,C015857,2025-01-03,membership_dues,Membership Dues,80.14,square,,Dues Square,false,2025-01-03T00:00:00,2025-01-03T00:00:00
C015857_006,C015857,2025-01-13,membership_dues,Membership Dues,105.00,square,,Dues Square,false,2025-01-13T00:00:00,2025-01-13T00:00:00
C015857_007,C015857,2025-01-13,C015857_football_crazr,Football Crazr,10.00,square,,Fundcrazr square,false,2025-01-13T00:00:00,2025-01-13T00:00:00
C015857_008,C015857,2025-01-13,C015857_parish_breakfast,Parish Breakfast,882.65,square,,Burritos square,false,2025-01-13T00:00:00,2025-01-13T00:00:00
C015857_009,C015857,2025-01-13,membership_dues,Membership Dues,65.38,square,,Dues square,false,2025-01-13T00:00:00,2025-01-13T00:00:00
C015857_010,C015857,2025-01-14,C015857_parish_breakfast,Parish Breakfast,1297.00,cash,,Burrito sales,false,2025-01-14T00:00:00,2025-01-14T00:00:00
C015857_011,C015857,2025-01-15,membership_dues,Membership Dues,515.02,check,,Membership Dues,false,2025-01-15T00:00:00,2025-01-15T00:00:00
C015857_012,C015857,2025-01-14,council_insurance,Council Insurance,81.02,debit_card,,Harland Clark/Costco - Checks,true,2025-01-14T00:00:00,2025-01-14T00:00:00
C015857_013,C015857,2025-01-14,C015857_1753034113931,Movie Knight,126.67,check,,Mike Staiano - Movie night supplies,true,2025-01-14T00:00:00,2025-01-14T00:00:00
C015857_014,C015857,2025-01-14,C015857_parish_breakfast,Parish Breakfast,1076.01,check,,Randy Wilson - burrito supplies,true,2025-01-14T00:00:00,2025-01-14T00:00:00
C015857_015,C015857,2025-01-14,C015857_chairperson_fund,Chairperson Fund,44.00,check,,Randy Wilson - seminarian appreciation meal,true,2025-01-14T00:00:00,2025-01-14T00:00:00
C015857_016,C015857,2025-01-14,C015857_st_martin_hot_chocolate,St Martin of Tours Hot Chocolate,28.06,check,,Rich Chopyak - St Martin supplies,true,2025-01-14T00:00:00,2025-01-14T00:00:00
C015857_017,C015857,2025-01-16,membership_dues,Membership Dues,115.35,square,,Dues Square,false,2025-01-16T00:00:00,2025-01-16T00:00:00
C015857_018,C015857,2025-01-20,membership_dues,Membership Dues,34.90,square,,Dues Square,false,2025-01-20T00:00:00,2025-01-20T00:00:00
