,Category,Date,Recipient/Cause,Amount,Transaction Type,Cleared,Combined Total
,R-Membership Dues,1/1/2025,Dues Square,$34.90,Square,,
,E-Council - Per Capita,1/2/2025,State Per Capita,-$285.00,Debit Card,,
,E-Council - Per Capita,1/14/2025,Supreme Per Capita,-$183.25,Check,,
,E-Council - Postage,1/14/2025,Shawn McPeek - Postage,-$73.00,Check,,
,R-Membership Dues,1/3/2025,Dues Square,$80.14,Square,,
,R-Membership Dues,1/13/2025,Dues Square,$105.00,Square,,997.65
,R-Council - Football Crazr,1/13/2025,Fundcrazr square,$10.00,Square,,997.65
,R-Community - Parish Breakfast,1/13/2025,Burritos square,$882.65,Square,,997.65
,R-Membership Dues,1/13/2025,Dues square ,$65.38,Square,,
,R-Community - Parish Breakfast,1/14/2025,Burrito sales,"$1,297.00",Cash,,
,R-Membership Dues,1/15/2025,Membership Dues,$515.02,Check,,
,"E-Council - Council Insurance, Trade Name, bank, po box",1/14/2025,Harland Clark/Costco - Checks,-$81.02,Debit Card,,
,E-Family - Parish Movie Knight,1/14/2025,Mike Staiano - Movie night supplies,-$126.67,Check,,
,E-Community - Parish Breakfast ,1/14/25,Randy Wilson - burrito supplies,"-$1,076.01",Check,,1120.01
,E-Faith - Chairperson Fund,1/14/2025,Randy Wilson - seminarian appreciation meal,-$44.00,Check,,1120.01
,E-Faith - St Martin of Tours Hot Chocolate,1/14/2025,Rich Chopyak - St Martin supplies,-$28.06,Check,,
,R-Membership Dues,1/16/2025,Dues Square,$115.35,Square,,
,R-Membership Dues,1/20/2025,Dues Square,$34.90,Square,,
,R-Membership Dues,1/20/2025,Dues Square,$45.24,Square,,
,R-Membership Dues,1/20/2025,Dues Square,$34.90,Square,,
,E-Life - unbound,1/21/2025,Unbound Birthday Gift,-$100.00,Debit Card,,
,R-Membership Dues,1/27/2025,Dues Square ,$45.24,Square,,
,R-Membership Dues,1/28/2025,Dues,$205.00,Check,,
,E-Faith - Chairperson Fund,1/28/2025,Supreme - council kiosk books,-$403.79,Debit Card,,
,"E-Council - Council Insurance, Trade Name, bank, po box",1/28/2025,Lockton Affinity,-$181.13,Debit Card,,
,E-Family - Parish Movie Knight,1/28/2025,Mike Staiano - movie supplies,-$81.56,Check,,
,E-Council-Membership Expenses,1/28/2025,Roy Davis - council shirts,-$169.95,Check,,
,R-Council - Interest earned,1/31/2025,Interest Earned,$0.59,Interest,,
,R-Membership Dues,1/7/2025,Dues Square,$34.90,Square,,
,R-Membership Dues,2/6/2025,Dues Square,$45.24,Square,,
,R-Council - Football Crazr,1/31/2025,Dues/FundCrazr Transfer,$180.00,Cash,,
,R-Membership Dues,1/31/25,Dues/FundCrazr Transfer,-$180.00,Cash,,
,R-Membership Dues,2/10/2025,Dues,$35.00,Cash,,789.7
,R-Council - Football Crazr,2/10/2025,Fundcrazr,$10.00,Cash,,789.7
,R-Community - Parish Breakfast,2/10/2025,Burritos square,$744.70,Square,,789.7
,R-Community - Parish Breakfast,2/11/2025,Burrito Sales,"$1,368.00",Cash,,1413
,"E-Council - Council Insurance, Trade Name, bank, po box",2/4/2025,USPS - Annual PO Box,-$64.00,Debit Card,,
,E-Community - Parish Breakfast ,2/11/2025,Randy Wilson - BUrrito supplies,"-$1,009.05",Check,,
